
Year,2019 report,2020 report
1963,10247.5,10.24
1964,10780.61,10.77
1965,11281.38,11.27
1966,11805.98,11.79
1967,12183.84,12.17
1968,12848.83,12.83
1969,13704.62,13.69
1970,14839.66,14.83
1971,15439.07,15.43
1972,16156.7,16.14
1973,17015.25,17
1974,16941.69,16.93
1975,16920.21,16.9
1976,17817.88,17.8
1977,18307.06,18.29
1978,18977.77,18.96
1979,19483.85,19.46
1980,19390.72,19.37
1981,18864.18,18.84
1982,18724.15,18.7
1983,18901.65,18.88
1984,19451.68,19.43
1985,20144.61,20.12
1986,20431.44,20.4
1987,21093.83,21.06
1988,21900.71,21.87
1989,22230.68,22.19
1990,22717.54,22.7
1991,23190.95,23.17
1992,22466.43,22.45
1993,22716.35,22.68
1994,22877.82,22.85
1995,23371.56,23.33
1996,24099.56,24.05
1997,24236.89,24.19
1998,24149.84,24.11
1999,24456.52,24.43
2000,25154.36,25.12
2001,25364.48,25.33
2002,25919.41,25.91
2003,27167.96,27.18
2004,28444.36,28.47
2005,29401.1,29.41
2006,30375.68,30.37
2007,31282.14,31.29
2008,31994.4,31.95
2009,31532.27,31.46
2010,32151.19,33.13
2011,34271.54,34.21
2012,34793.09,34.76
2013,34959.43,34.99
2014,35224.84,35.24
2015,35238.64,35.21
2016,35379.68,35.22
2017,35810.5,35.69
2018,36572.75,36.42
2019,36440,36.44

